StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex,AvgDistance,MinDistance
66762,92537,174958,, ,,,18.857453,39.3205658,255.7544757,7.28,0.240883787,A0 ,-0.024,0.008199,0
31501,42707,74300,, ,,,8.70349776,-32.23135128,276.2430939,7.3,0.093542853,B9V ,-0.024,0.011764,0.000012
79668,109591,210820,, ,,,22.20049739,47.09561859,223.2142857,6.7,-0.04360993,A0 ,-0.024,0.015581,0.000007
67889,93974,178540,, ,,,19.13388065,24.72603018,240.3846154,6.59,-0.314533347,B5 ,-0.024,0.024427,0.000006
67842,93907,178591,, ,,,19.12199393,41.05411386,312.5,7.14,-0.334250108,B5 ,-0.024,0.025134,0
54627,75658,136977,, ,,,15.45749452,-66.12139818,289.8550725,6.92,-0.390904525,B8II/III ,-0.024,0.027215,0.000005
50571,69591,124197,, ,,,14.24435164,-65.70137376,283.286119,6.72,-0.541126473,B5V ,-0.024,0.033072,0.000008
52593,72670,129899,, ,,,14.85835355,-77.17594571,275.4820937,6.44,-0.760466875,Ap... ,-0.024,0.04246,0.000001
71437,98620,190130,, ,,,20.03095663,40.85880769,469.4835681,7.34,-1.018101983,A0 ,-0.024,0.054584,0
39281,53007,94144,, ,,,10.84445578,-61.26955684,460.8294931,6.84,-1.477701331,B2V ,-0.024,0.078643,0.000003
55574,77056,140079,, ,,,15.73433846,-51.90471195,657.8947368,7.23,-1.86078206,B8III ,-0.024,0.100469,0.000022
21493,29904,43353,, ,,,6.29631862,40.18863245,757.5757576,7.47,-1.927130344,B9 ,-0.024,0.104373,0
40548,54764,97557,, ,,,11.21230186,-59.67761244,793.6507937,7.23,-2.268147274,B3IV ,-0.024,0.124912,0.000002
42695,57907,103182,, ,,,11.87744916,-62.23521773,862.0689655,7.23,-2.447710054,B3III ,-0.024,0.135983,0.000001
55441,76849,139616,, ,,,15.6918452,-53.39125204,819.6721311,6.92,-2.648200847,B8III ,-0.024,0.148513,0.000036
11292,16095,21379,1039,, ,,3.45518637,12.73530724,104.3841336,6.29,1.196827545,A0Vs ,-0.025,0.000987,0.000004
8026,11479,15646,734,, ,,2.467872,-64.29978331,118.0637544,6.35,0.989417052,A0V ,-0.025,0.00003,0
52444,72449,130557,5522,, ,,14.81502764,-0.84769586,108.2251082,6.15,0.978359856,B9Vsvar... ,-0.025,0.000016,0.000003
60448,84021,155711,6395,, ,,17.17517928,52.40879075,130.0390117,6.3,0.729631699,B9V ,-0.025,0.000825,0.000002
79289,109079,209932,8422,, ,,22.09734381,45.112512,214.1327623,6.5,-0.153415597,A0V ,-0.025,0.018968,0.000001
67802,93855,177817,7239,, ,,19.11447719,-16.22923584,273.9726027,6,-1.188535678,B7V ,-0.025,0.063166,0.000016
64393,89382,165861,6774,, ,,18.24003396,-70.7511767,389.1050584,6.7,-1.250334383,B7/B8II/III ,-0.025,0.066386,0.000004
65493,90858,170973,6958,, ,,18.53524528,3.65959509,366.3003663,6.41,-1.409186765,A0sp... ,-0.025,0.074887,0.000002
